 zone T = "Var            1 : IMEX",
-0.38000E+01  0.12246E+01
-0.39000E+01  0.12246E+01
-0.40000E+01  0.12245E+01
-0.41000E+01  0.12245E+01
-0.42000E+01  0.12245E+01
-0.43000E+01  0.12245E+01
-0.44000E+01  0.12244E+01
-0.45000E+01  0.12244E+01
-0.46000E+01  0.12244E+01
-0.47000E+01  0.12244E+01
-0.48000E+01  0.12244E+01
-0.49000E+01  0.12244E+01
-0.50000E+01  0.12244E+01
-0.51000E+01  0.12244E+01
-0.52000E+01  0.12244E+01
-0.53000E+01  0.12244E+01
-0.54000E+01  0.12244E+01
-0.55000E+01  0.12244E+01
-0.56000E+01  0.12244E+01
-0.57000E+01  0.12244E+01
-0.58000E+01  0.12244E+01
-0.59000E+01  0.12244E+01
-0.60000E+01  0.12244E+01
-0.61000E+01  0.12244E+01
-0.62000E+01  0.12244E+01
-0.63000E+01  0.12244E+01
-0.64000E+01  0.12244E+01
-0.65000E+01  0.12244E+01
-0.66000E+01  0.12244E+01
-0.67000E+01  0.12244E+01
-0.68000E+01  0.12244E+01
-0.69000E+01  0.12244E+01
-0.70000E+01  0.12244E+01
-0.71000E+01  0.12244E+01
-0.72000E+01  0.12244E+01
-0.73000E+01  0.12244E+01
-0.74000E+01  0.12244E+01
-0.75000E+01  0.12244E+01
-0.76000E+01  0.12244E+01
-0.77000E+01  0.12244E+01
-0.78000E+01  0.12244E+01
-0.79000E+01  0.12244E+01
-0.80000E+01  0.12244E+01
 zone T = "Var            5 : IMEX",
 0.00000E+00 -0.13217E+00
-0.10000E+00 -0.94608E-01
-0.20000E+00 -0.61393E-01
-0.30000E+00 -0.32665E-01
-0.40000E+00 -0.84700E-02
-0.50000E+00  0.11253E-01
-0.60000E+00  0.26662E-01
-0.70000E+00  0.38009E-01
-0.80000E+00  0.45629E-01
-0.90000E+00  0.49931E-01
-0.10000E+01  0.51391E-01
-0.11000E+01  0.50536E-01
-0.12000E+01  0.47921E-01
-0.13000E+01  0.44098E-01
-0.14000E+01  0.39582E-01
-0.15000E+01  0.34811E-01
-0.16000E+01  0.30124E-01
-0.17000E+01  0.25751E-01
-0.18000E+01  0.21824E-01
-0.19000E+01  0.18397E-01
-0.20000E+01  0.15468E-01
-0.21000E+01  0.13007E-01
-0.22000E+01  0.10963E-01
-0.23000E+01  0.92830E-02
-0.24000E+01  0.79113E-02
-0.25000E+01  0.67982E-02
-0.26000E+01  0.58989E-02
-0.27000E+01  0.51750E-02
-0.28000E+01  0.45940E-02
-0.29000E+01  0.41285E-02
-0.30000E+01  0.37563E-02
-0.31000E+01  0.34592E-02
-0.32000E+01  0.32221E-02
-0.33000E+01  0.30332E-02
-0.34000E+01  0.28828E-02
-0.35000E+01  0.27631E-02
-0.36000E+01  0.26678E-02
-0.37000E+01  0.25920E-02
-0.38000E+01  0.25318E-02
-0.39000E+01  0.24839E-02
-0.40000E+01  0.24458E-02
-0.41000E+01  0.24155E-02
-0.42000E+01  0.23915E-02
-0.43000E+01  0.23724E-02
-0.44000E+01  0.23572E-02
-0.45000E+01  0.23451E-02
-0.46000E+01  0.23355E-02
-0.47000E+01  0.23279E-02
-0.48000E+01  0.23219E-02
-0.49000E+01  0.23171E-02
-0.50000E+01  0.23133E-02
-0.51000E+01  0.23102E-02
-0.52000E+01  0.23078E-02
-0.53000E+01  0.23059E-02
-0.54000E+01  0.23044E-02
-0.55000E+01  0.23032E-02
-0.56000E+01  0.23022E-02
-0.57000E+01  0.23015E-02
-0.58000E+01  0.23009E-02
-0.59000E+01  0.23004E-02
-0.60000E+01  0.23000E-02
-0.61000E+01  0.22997E-02
-0.62000E+01  0.22995E-02
-0.63000E+01  0.22993E-02
-0.64000E+01  0.22991E-02
-0.65000E+01  0.22990E-02
-0.66000E+01  0.22989E-02
-0.67000E+01  0.22988E-02
-0.68000E+01  0.22988E-02
-0.69000E+01  0.22987E-02
-0.70000E+01  0.22987E-02
-0.71000E+01  0.22986E-02
-0.72000E+01  0.22986E-02
-0.73000E+01  0.22986E-02
-0.74000E+01  0.22986E-02
-0.75000E+01  0.22986E-02
-0.76000E+01  0.22986E-02
-0.77000E+01  0.22986E-02
-0.78000E+01  0.22985E-02
-0.79000E+01  0.22985E-02
-0.80000E+01  0.22985E-02
 zone T = "Var            5 : Predicted",
 0.00000E+00  0.88515E+00
-0.10000E+00  0.88794E+00
-0.20000E+00  0.89143E+00
-0.30000E+00  0.89579E+00
-0.40000E+00  0.90121E+00
-0.50000E+00  0.90795E+00
-0.60000E+00  0.91628E+00
-0.70000E+00  0.92653E+00
-0.80000E+00  0.93906E+00
-0.90000E+00  0.95422E+00
-0.10000E+01  0.97237E+00
-0.11000E+01  0.99378E+00
-0.12000E+01  0.10186E+01
-0.13000E+01  0.10468E+01
-0.14000E+01  0.10780E+01
-0.15000E+01  0.11116E+01
-0.16000E+01  0.11466E+01
-0.17000E+01  0.11820E+01
-0.18000E+01  0.12167E+01
-0.19000E+01  0.12498E+01
-0.20000E+01  0.12804E+01
-0.21000E+01  0.13080E+01
-0.22000E+01  0.13326E+01
-0.23000E+01  0.13540E+01
-0.24000E+01  0.13724E+01
-0.25000E+01  0.13880E+01
-0.26000E+01  0.14010E+01
-0.27000E+01  0.14119E+01
-0.28000E+01  0.14208E+01
-0.29000E+01  0.14282E+01
-0.30000E+01  0.14341E+01
-0.31000E+01  0.14389E+01
-0.32000E+01  0.14428E+01
-0.33000E+01  0.14460E+01
-0.34000E+01  0.14485E+01
-0.35000E+01  0.14505E+01
-0.36000E+01  0.14521E+01
-0.37000E+01  0.14534E+01
-0.38000E+01  0.14544E+01
-0.39000E+01  0.14552E+01
-0.40000E+01  0.14559E+01
-0.41000E+01  0.14564E+01
-0.42000E+01  0.14568E+01
-0.43000E+01  0.14571E+01
-0.44000E+01  0.14574E+01
-0.45000E+01  0.14576E+01
-0.46000E+01  0.14577E+01
-0.47000E+01  0.14579E+01
-0.48000E+01  0.14580E+01
-0.49000E+01  0.14581E+01
-0.50000E+01  0.14581E+01
-0.51000E+01  0.14582E+01
-0.52000E+01  0.14582E+01
-0.53000E+01  0.14583E+01
-0.54000E+01  0.14583E+01
-0.55000E+01  0.14583E+01
-0.56000E+01  0.14583E+01
-0.57000E+01  0.14583E+01
